field_name,class,window_days,n_gaps,gap_min_s,gap_p10_s,gap_med_s,gap_mean_s,gap_p90_s,gap_max_s,burstiness,notes
FF12_voltfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_cdrenable,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_cdrlol,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_cdrrate,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_fwversion,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF13_id,STATIC,1,0,,,,,,,,no value changes in window
FF13_los,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_model,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF13_powerfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_present,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_rxpower_0,ANALOG,1,8763,5.0,5.0,5.0,9.858,20.0,100.0,4.0,
FF13_rxpower_1,ANALOG,1,10526,5.0,5.0,5.0,8.205,15.0,55.0,3.0,
FF13_rxpower_2,ANALOG,1,10181,5.0,5.0,5.0,8.484,15.0,65.0,3.0,
FF13_rxpower_3,ANALOG,1,211,5.0,5.0,5.0,407.844,1258.0,4010.0,251.6,
FF13_serial,STATIC,1,,,,,,,,,non-numeric -- no change statistics
FF13_status,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_tempC,ANALOG,1,5119,5.0,5.0,10.0,16.876,30.0,1030.0,3.0,
FF13_tempfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_txdisable,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_txfault,DISCRETE,1,0,,,,,,,,no value changes in window
FF13_uptime,COUNTER,1,11,7200.0,7200.0,7200.0,7201.818,7205.0,7205.0,1.0,
FF13_voltfault,DISCRETE,1,0,,,,,,,,no value changes in window
FPGA_temp,ANALOG,1,17178,5.0,5.0,5.0,5.029,5.0,10.0,1.0,
FPGA_up,DISCRETE,1,17278,5.0,5.0,5.0,5.0,5.0,5.0,1.0,
FPGA_vaux,ANALOG,1,14044,5.0,5.0,5.0,6.151,10.0,35.0,2.0,
FPGA_vbram,ANALOG,1,13912,5.0,5.0,5.0,6.21,10.0,35.0,2.0,
FPGA_vint,ANALOG,1,14312,5.0,5.0,5.0,6.036,10.0,35.0,2.0,
Fwvers,STATIC,1,0,,,,,,,,no value changes in window
Hwid,STATIC,1,0,,,,,,,,no value changes in window
IPMC_LTC_67_I,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_67_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_69_I,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_69_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6A_I,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6A_T,ANALOG,1,64,10.0,10.0,45.0,1232.656,3585.0,20580.0,79.67,
IPMC_LTC_6A_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6B_I,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6B_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6C_I,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6C_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6D_I1,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6D_I2,ANALOG,1,3311,10.0,10.0,20.0,26.092,55.0,320.0,2.75,
IPMC_LTC_6D_V1,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6D_V2,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6E_I,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_LTC_6E_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_PCF_ah,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_PCF_al,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_PCF_bh_I,ANALOG,1,829,10.0,10.0,85.0,103.854,285.0,470.0,3.35,
IPMC_PCF_bl_V,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_TMP100_bb,ANALOG,1,247,10.0,10.0,20.0,294.211,309.0,14815.0,15.45,
IPMC_TMP100_bt,ANALOG,1,128,10.0,10.0,25.0,568.672,797.0,12680.0,31.88,
IPMC_TMP100_fb,ANALOG,1,0,,,,,,,,no value changes in window
IPMC_TMP100_ft,ANALOG,1,150,10.0,10.0,40.0,482.367,585.0,16275.0,14.62,
